feature,importance
liquidity_ratio_std,0.06
cds_spread_median,0.05
liquidity_ratio_median,0.04
leverage_ratio_min,0.04
leverage_ratio_mean,0.04
liquidity_ratio_min,0.04
liquidity_ratio_max,0.04
stock_price_median,0.04
roe_median,0.04
std_network_cds_spread,0.04
num_network_edges,0.04
network_density,0.04
credit_rating_median,0.03151923076923077
stock_price_mean,0.03
roe_min,0.03
credit_rating_min,0.03
avg_network_cds_spread,0.03
systemic_risk_score,0.021787330316742085
roe_mean,0.02
credit_rating_mean,0.02
credit_spread,0.02
median_network_cds_spread,0.02
stock_price_min,0.02
credit_rating_max,0.02
gdp_growth,0.02
leverage_ratio_median,0.02
total_network_exposure,0.01575442247658689
unemployment_rate,0.012815395580898076
cds_spread_max,0.01
credit_rating_std,0.01
roe_max,0.01
liquidity_ratio_mean,0.01
num_unique_debtors,0.01
cds_spread_min,0.01
cds_spread_mean,0.01
leverage_ratio_max,0.01
leverage_ratio_std,0.01
vix_index_pct_change_3m,0.00865874363327674
leverage_ratio_mean_ma3,0.008480769230769231
leverage_ratio_mean_pct_change_6m,0.00821266968325792
liquidity_ratio_mean_pct_change_6m,0.007184604419101924
stock_price_std,0.004245577523413111
cds_spread_std,0.0013412563667232597
total_assets_min,0.0
total_assets_mean,0.0
vix_index,0.0
yield_curve_slope,0.0
sp500_return,0.0
sp500_price,0.0
total_assets_sum,0.0
institution_id_count,0.0
total_assets_median,0.0
total_assets_max,0.0
roe_std,0.0
total_assets_std,0.0
total_network_collateral,0.0
avg_network_collateral,0.0
median_network_collateral,0.0
max_network_cds_spread,0.0
network_hhi,0.0
network_collateral_ratio,0.0
total_tx_volume,0.0
avg_tx_amount,0.0
median_tx_amount,0.0
max_network_exposure,0.0
median_network_exposure,0.0
stock_price_max,0.0
std_network_exposure,0.0
avg_network_exposure,0.0
num_unique_tx_receivers,0.0
tx_collateral_count,0.0
tx_derivative_count,0.0
tx_payment_count,0.0
tx_repo_count,0.0
tx_settlement_count,0.0
tx_velocity,0.0
tx_concentration,0.0
high_value_tx_ratio,0.0
month_index,0.0
leverage_ratio_mean_lag1,0.0
liquidity_ratio_mean_lag1,0.0
cds_spread_mean_lag1,0.0
total_network_exposure_lag1,0.0
avg_network_exposure_lag1,0.0
network_hhi_lag1,0.0
total_tx_volume_lag1,0.0
vix_index_lag1,0.0
credit_spread_lag1,0.0
yield_curve_slope_lag1,0.0
total_assets_mean_lag1,0.0
institution_id_count_lag1,0.0
leverage_ratio_mean_lag3,0.0
liquidity_ratio_mean_lag3,0.0
cds_spread_mean_lag3,0.0
total_network_exposure_lag3,0.0
avg_network_exposure_lag3,0.0
std_tx_amount,0.0
min_tx_amount,0.0
max_tx_amount,0.0
total_tx_count,0.0
num_unique_tx_senders,0.0
yield_curve_slope_lag3,0.0
credit_spread_lag3,0.0
vix_index_lag3,0.0
total_tx_volume_lag3,0.0
network_hhi_lag3,0.0
institution_id_count_lag3,0.0
cds_spread_mean_lag6,0.0
total_assets_mean_lag3,0.0
total_tx_volume_lag6,0.0
vix_index_lag6,0.0
credit_spread_lag6,0.0
yield_curve_slope_lag6,0.0
total_assets_mean_lag6,0.0
total_network_exposure_lag6,0.0
leverage_ratio_mean_lag6,0.0
liquidity_ratio_mean_lag6,0.0
leverage_ratio_mean_pct_change_3m,0.0
leverage_ratio_mean_change_3m,0.0
institution_id_count_lag6,0.0
liquidity_ratio_mean_change_3m,0.0
liquidity_ratio_mean_pct_change_3m,0.0
liquidity_ratio_mean_change_6m,0.0
cds_spread_mean_change_3m,0.0
leverage_ratio_mean_change_6m,0.0
cds_spread_mean_pct_change_3m,0.0
cds_spread_mean_change_6m,0.0
total_network_exposure_change_3m,0.0
cds_spread_mean_pct_change_6m,0.0
total_network_exposure_pct_change_3m,0.0
total_network_exposure_change_6m,0.0
avg_network_exposure_lag6,0.0
network_hhi_lag6,0.0
vix_index_change_3m,0.0
total_network_exposure_pct_change_6m,0.0
credit_spread_change_3m,0.0
vix_index_change_6m,0.0
credit_spread_pct_change_3m,0.0
credit_spread_change_6m,0.0
credit_spread_pct_change_6m,0.0
vix_index_pct_change_6m,0.0
leverage_ratio_mean_std3,0.0
leverage_ratio_mean_std6,0.0
vix_index_ma3,0.0
vix_index_ma6,0.0
vix_index_std3,0.0
vix_index_std6,0.0
total_network_exposure_ma3,0.0
leverage_ratio_mean_ma6,0.0
total_network_exposure_ma6,0.0
total_network_exposure_std3,0.0
total_tx_volume_ma3,0.0
total_network_exposure_std6,0.0
total_tx_volume_std3,0.0
total_tx_volume_std6,0.0
cds_spread_mean_ma3,0.0
total_tx_volume_ma6,0.0
cds_spread_mean_ma6,0.0
cds_spread_mean_std3,0.0
leverage_vix_interaction,0.0
cds_spread_mean_std6,0.0
exposure_hhi_interaction,0.0
liquidity_credit_interaction,0.0
network_tx_interaction,0.0
network_fragility_score,0.0
